order_id,order_date,promised_delivery_days,warehouse_id,product_id,quantity_ordered,order_priority,customer_region,sales_channel
ORD000001,2023-07-01,14.0,WH02,PROD0021,68,Medium,Midwest,B2B
ORD000002,2023-06-16,6.0,WH08,PROD0093,436,Medium,Midwest,B2B
ORD000003,2023-04-01,5.0,WH04,PROD0089,169,High,East,Online
ORD000004,2024-12-14,8.0,WH10,PROD0094,105,High,Midwest,Online
ORD000005,2024-06-14,3.0,WH06,PROD0061,462,Critical,South,B2B
ORD000006,2023-02-08,4.0,WH03,PROD0057,315,Medium,West,Online
ORD000007,2023-05-06,9.0,WH08,PROD0011,58,Medium,West,B2B
ORD000008,2024-03-26,13.0,WH08,PROD0019,376,Critical,South,B2B
ORD000009,2023-06-22,5.0,WH03,PROD0075,187,Medium,South,B2B
ORD000010,2024-10-14,3.0,WH09,PROD0089,456,Medium,South,Retail
ORD000011,2023-08-08,4.0,WH10,PROD0001,407,Medium,East,Online
ORD000012,2024-09-29,12.0,WH05,PROD0032,385,Medium,West,Online
ORD000013,2023-02-27,12.0,WH10,PROD0085,56,Low,East,Online
ORD000014,2024-10-21,11.0,WH09,PROD0077,459,High,East,B2B
ORD000015,2024-04-20,9.0,WH07,PROD0034,475,Critical,Midwest,B2B
ORD000016,2024-03-31,9.0,WH10,PROD0017,4,Low,West,Online
ORD000017,2023-12-27,12.0,WH03,PROD0055,285,High,East,Online
ORD000018,2023-01-01,10.0,WH06,PROD0019,17,Low,South,Retail
ORD000019,2024-01-22,14.0,WH10,PROD0074,433,Low,South,B2B
ORD000020,2023-12-14,14.0,WH02,PROD0042,467,Medium,South,B2B
ORD000021,2023-07-09,10.0,WH06,PROD0059,237,Low,Midwest,Retail
ORD000022,2024-05-19,11.0,WH05,PROD0073,307,Medium,East,B2B
ORD000023,2023-07-10,4.0,WH03,PROD0075,250,Low,West,Online
ORD000024,2024-05-22,10.0,WH07,PROD0038,433,Medium,West,B2B
ORD000025,2024-01-04,10.0,WH04,PROD0031,24,Medium,Midwest,B2B
ORD000026,2024-02-13,7.0,WH06,PROD0066,300,Critical,South,B2B
ORD000027,2023-04-27,7.0,WH09,PROD0088,116,High,South,Online
ORD000028,2023-05-14,6.0,WH06,PROD0069,238,Low,East,B2B
ORD000029,2023-02-27,7.0,WH04,PROD0050,169,Medium,West,B2B
ORD000030,2024-07-09,4.0,WH10,PROD0030,313,Critical,West,Retail
ORD000031,2024-11-15,4.0,WH02,PROD0035,492,High,South,Retail
ORD000032,2024-11-02,7.0,WH09,PROD0059,440,Medium,South,B2B
ORD000033,2023-06-22,13.0,WH04,PROD0017,288,Medium,West,B2B
ORD000034,2023-05-29,5.0,WH04,PROD0095,415,Medium,West,Retail
ORD000035,2023-03-21,3.0,WH02,PROD0066,241,Medium,West,B2B
ORD000036,2023-08-01,11.0,WH05,PROD0080,400,High,East,Retail
ORD000037,2023-07-22,4.0,WH06,PROD0021,416,Low,East,Retail
ORD000038,2023-08-17,14.0,WH10,PROD0094,364,Critical,South,B2B
ORD000039,2024-11-06,12.0,WH06,PROD0052,298,Low,Midwest,Online
ORD000040,2023-08-15,4.0,WH03,PROD0065,378,Medium,South,Online
ORD000041,2024-10-20,,WH09,PROD0014,290,Low,West,B2B
ORD000042,2024-06-15,4.0,WH07,PROD0016,483,Medium,Midwest,B2B
ORD000043,2024-03-16,9.0,WH03,PROD0055,251,Medium,East,Online
ORD000044,2024-02-06,,WH04,PROD0009,165,Low,South,Online
ORD000045,2023-02-16,12.0,WH07,PROD0008,400,Critical,East,B2B
ORD000046,2023-08-21,3.0,WH08,PROD0073,341,Medium,Midwest,Retail
ORD000047,2023-11-01,13.0,WH06,PROD0034,141,Medium,East,B2B
ORD000048,2024-06-09,4.0,WH04,PROD0033,378,Medium,West,Online
ORD000049,2023-05-23,13.0,WH02,PROD0086,120,Low,West,Online
ORD000050,2024-02-19,7.0,WH10,PROD0094,338,Medium,East,Online
ORD000051,2024-05-27,4.0,WH08,PROD0007,450,Medium,South,Retail
ORD000052,2024-01-08,11.0,WH01,PROD0082,376,Medium,West,Retail
ORD000053,2024-07-19,6.0,WH09,PROD0021,161,High,Midwest,B2B
ORD000054,2023-09-16,11.0,WH08,PROD0005,105,Low,South,B2B
ORD000055,2024-10-17,13.0,WH03,PROD0071,338,Medium,East,B2B
ORD000056,2024-04-15,14.0,WH10,PROD0012,92,Low,Midwest,Online
ORD000057,2023-01-12,3.0,WH04,PROD0059,485,Medium,East,Online
ORD000058,2023-11-26,,WH10,PROD0081,419,Medium,South,B2B
ORD000059,2023-12-24,3.0,WH04,PROD0058,421,Low,West,Retail
ORD000060,2024-02-12,6.0,WH02,PROD0088,204,Medium,West,B2B
ORD000061,2024-10-29,11.0,WH10,PROD0037,40,Medium,West,Online
ORD000062,2024-01-08,10.0,WH05,PROD0083,392,Critical,West,Retail
ORD000063,2023-01-08,9.0,WH03,PROD0045,54,Medium,Midwest,B2B
ORD000064,2023-05-02,3.0,WH01,PROD0080,89,Low,Midwest,B2B
ORD000065,2023-12-14,5.0,WH02,PROD0025,135,Low,South,Online
ORD000066,2024-11-06,11.0,WH07,PROD0027,2,Low,South,Online
ORD000067,2023-03-31,11.0,WH01,PROD0051,97,Low,South,Online
ORD000068,2024-10-09,7.0,WH02,PROD0042,56,Medium,East,Retail
ORD000069,2024-11-28,,WH10,PROD0071,481,High,West,Online
ORD000070,2023-11-12,8.0,WH07,PROD0042,360,Low,West,B2B
ORD000071,2023-06-27,13.0,WH01,PROD0060,124,Medium,South,B2B
ORD000072,2024-06-23,8.0,WH07,PROD0072,185,Medium,South,B2B
ORD000073,2023-02-10,12.0,WH08,PROD0079,433,Medium,Midwest,B2B
ORD000074,2024-12-04,6.0,WH02,PROD0058,471,Low,West,Online
ORD000075,2024-05-16,3.0,WH04,PROD0080,453,Critical,West,Online
ORD000076,2023-05-25,7.0,WH07,PROD0072,125,High,West,Online
ORD000077,2023-07-20,3.0,WH01,PROD0100,334,Critical,Midwest,Online
ORD000078,2024-12-24,,WH06,PROD0096,264,Low,South,Online
ORD000079,2024-04-05,13.0,WH05,PROD0081,340,Medium,Midwest,B2B
ORD000080,2024-07-11,7.0,WH06,PROD0100,191,High,South,Online
ORD000081,2024-06-30,7.0,WH08,PROD0022,338,High,South,Online
ORD000082,2023-09-10,9.0,WH01,PROD0096,215,Low,South,B2B
ORD000083,2024-01-25,4.0,WH03,PROD0058,221,Critical,South,Online
ORD000084,2024-08-16,8.0,WH09,PROD0011,199,Critical,West,Retail
ORD000085,2023-09-13,4.0,WH08,PROD0006,344,Low,Midwest,B2B
ORD000086,2024-12-09,12.0,WH04,PROD0022,174,Medium,West,Retail
ORD000087,2024-03-25,7.0,WH10,PROD0078,217,Medium,East,Online
ORD000088,2023-01-10,6.0,WH09,PROD0092,206,High,West,Online
ORD000089,2023-08-30,13.0,WH07,PROD0012,486,Medium,South,B2B
ORD000090,2023-09-08,12.0,WH02,PROD0027,67,Low,South,Online
ORD000091,2023-01-05,7.0,WH01,PROD0001,373,Low,South,B2B
ORD000092,2023-04-29,4.0,WH01,PROD0064,174,Low,West,B2B
ORD000093,2024-01-09,10.0,WH03,PROD0074,78,Low,South,B2B
ORD000094,2023-03-06,10.0,WH10,PROD0097,323,Low,East,Retail
ORD000095,2023-05-26,8.0,WH02,PROD0080,42,Medium,West,Online
ORD000096,2023-08-12,5.0,WH04,PROD0039,64,High,West,B2B
ORD000097,2023-08-27,6.0,WH08,PROD0060,384,Medium,East,B2B
ORD000098,2023-06-26,3.0,WH05,PROD0070,329,Medium,West,B2B
ORD000099,2023-10-09,11.0,WH05,PROD0054,437,Low,South,Online
ORD000100,2023-03-04,,WH06,PROD0025,199,Medium,South,B2B
ORD000101,2023-08-05,7.0,WH05,PROD0020,90,High,East,B2B
ORD000102,2024-11-19,10.0,WH05,PROD0036,7,Medium,East,Retail
ORD000103,2024-04-05,5.0,WH07,PROD0023,263,Medium,West,B2B
ORD000104,2024-09-01,6.0,WH06,PROD0080,492,Low,West,Online
