shipment_id,order_id,warehouse_id,carrier,ship_date,promised_delivery_days,actual_delivery_days,delivery_status,shipment_cost_usd,weight_kg,distance_km
SHP000001,ORD000001,WH02,UPS,2023-07-01,14.0,14.0,On Time,324.13,60.31,2224
SHP000002,ORD000002,WH08,UPS,2023-06-16,6.0,6.0,On Time,128.52,148.32,2044
SHP000003,ORD000003,WH04,DHL,2023-04-01,5.0,4.0,Early,287.9,74.06,4384
SHP000004,ORD000004,WH10,USPS,2024-12-14,8.0,8.0,On Time,206.66,77.13,1301
SHP000005,ORD000005,WH06,UPS,2024-06-14,3.0,3.0,On Time,75.22,79.16,4376
SHP000006,ORD000006,WH03,Amazon Logistics,2023-02-08,4.0,4.0,On Time,160.68,4.82,2018
SHP000007,ORD000007,WH08,FedEx,2023-05-06,9.0,9.0,On Time,125.39,105.72,4363
SHP000008,ORD000008,WH08,Amazon Logistics,2024-03-26,13.0,13.0,On Time,277.92,63.39,2831
SHP000009,ORD000009,WH03,FedEx,2023-06-22,5.0,4.0,Early,36.84,59.95,887
SHP000010,ORD000010,WH09,USPS,2024-10-14,3.0,3.0,On Time,279.68,88.28,4920
SHP000011,ORD000011,WH10,Amazon Logistics,2023-08-08,4.0,4.0,On Time,8112.3076032785175,17.16,1276
SHP000012,ORD000012,WH05,DHL,2024-09-29,12.0,12.0,Cancelled,107.85,39.21,3196
SHP000013,ORD000013,WH10,XPO Freight,2023-02-27,12.0,12.0,On Time,299.88,6.45,3512
SHP000014,ORD000014,WH09,UPS,2024-10-21,11.0,11.0,On Time,340.41,79.64,2315
SHP000015,ORD000015,WH07,XPO Freight,2024-04-20,9.0,9.0,On Time,343.48,10.4,3660
SHP000016,ORD000016,WH10,XPO Freight,2024-03-31,9.0,9.0,On Time,132.58,130.15,2445
SHP000017,ORD000017,WH03,DHL,2023-12-27,12.0,12.0,On Time,163.5,26.28,1586
SHP000018,ORD000018,WH06,Amazon Logistics,2023-01-01,10.0,,Early,340.23,118.02,1192
SHP000019,ORD000019,WH10,XPO Freight,2024-01-22,14.0,14.0,On Time,136.74,194.3,4634
SHP000020,ORD000020,WH02,FedEx,2023-12-14,14.0,14.0,On Time,139.61,130.46,999
SHP000021,ORD000021,WH06,XPO Freight,2023-07-09,10.0,13.0,Late,289.42,39.49,2232
SHP000022,ORD000022,WH05,DHL,2024-05-19,11.0,,Cancelled,134.46,81.29,3737
SHP000023,ORD000023,WH03,DHL,2023-07-10,4.0,4.0,On Time,145.17,7.8,3869
